ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
.27000001,39597,.38999999,1,1,.68000001,.46000001
.28999999,37289,.36000001,.51099998,1,.67000002,.44299999
.25,38079,.43000001,.59500003,1,.64999998,.426
.25999999,35719,.23,1,1,.89999998,.46700001
.19,43832,.38,.57999998,1,.77999997,.79699999
.12,56552,.23,1,1,.88999999,.58600003
.37,31934,.72000003,.27500001,0,.36000001,-.30599999
.13,64333,.38,.69300002,1,.68000001,.51099998
.28,42418,.44,.53200001,1,.57999998,.72600001
.14,52428,.38,.676,1,.77999997,.85500002
.19,57080,.41999999,.55900002,1,.79000002,.824
.41999999,36884,.66000003,.292,0,.28999999,-.454
.15000001,61227,.47,.546,1,.76999998,.889
.15000001,59112,.38,.69499999,1,.75999999,1.013
.31,38675,.56999999,.46799999,0,.38999999,-.58600003
.16,49647,.46000001,.49200001,0,.74000001,
,,,,,,-.257
.31999999,33607,.38,.54400003,1,.80000001,.421
.23,43217,.44,.602,1,.75999999,.574
.25,40714,.34,.72399998,1,.87,.412
.30000001,34612,.38999999,.41100001,0,.70999998,-.090000004
.18000001,50160,.66000003,.331,0,.70999998,-.41800001
.2,42245,.43000001,.57200003,1,.75999999,.73100001
.13,66347,.49000001,.537,1,.74000001,.71200001
.11,60774,.44,.66100001,1,.83999997,.99400002
.30000001,47868,.69999999,.25999999,0,.43000001,-.428
.1,69039,.75999999,.31,0,.75999999,-.671
.17,62893,.72000003,.317,0,.43000001,-.65700001
.15000001,63525,.85000002,.15899999,0,.43000001,-.398
.20999999,51878,.88,.114,0,.34999999,-.69400001
.12,79769,.64999998,.391,0,.64999998,-.384
.1,77111,.54000002,.49399999,0,.63999999,-.22499999
.050000001,85303,.74000001,.227,0,.47999999,-.47999999
.1,76267,.74000001,.278,0,.38,-.71499997
.1,92091,.73000002,.28799999,0,.60000002,-.36899999
.079999998,84814,.68000001,.324,0,.47,-.56199998
.18000001,73368,.69999999,.264,0,.31999999,-.41999999
.23999999,58809,.72000003,.31,0,.46000001,-.50700003
.33000001,43101,.58999997,.41499999,0,.38999999,-.233
.23,52143,.46000001,.64700001,1,.60000002,.57200003
.40000001,36021,.60000002,.48199999,0,.20999999,-.192
.28999999,45747,.41999999,1,1,.46000001,.71100003
.22,56910,.38,1,1,.67000002,.65200001
.2,52641,.66000003,.39399999,0,.49000001,-.45100001
.12,77698,.50999999,.60000002,1,.68000001,.58999997
.23,60348,.49000001,.61900002,1,.56999999,.62
.079999998,75675,.50999999,.59799999,1,.51999998,.59799999
.19,57218,.66000003,.34799999,0,.44999999,-.391
.25999999,51316,.75999999,.243,0,.31,-.33899999
.14,59777,.68000001,.331,0,.38999999,-.32300001
.059999999,79149,.69999999,.33000001,0,.75999999,-.46399999
.38,35244,.80000001,.161,0,.1,-.43399999
.23,50580,.68000001,.289,0,.15000001,-.50199997
.30000001,41967,.87,.139,0,.2,-.53200001
.33000001,37499,.75,.227,0,.11,-.40700001
.30000001,39509,.83999997,.206,0,.1,-.59399998
.17,67257,.63999999,.368,0,.47999999,-.31
,,,,,,-.46000001
.28999999,44648,.80000001,.25299999,0,.17,-.32600001
.2,51018,.70999998,.26499999,0,.13,-.50400001
.20999999,54516,.64999998,.34,0,.20999999,-.51200002
.16,67947,.47,.66799998,1,.49000001,.92299998
.23999999,51850,.44,.63300002,1,.63,.56199998
.059999999,86642,.44999999,.662,1,.54000002,.63
.30000001,50976,.68000001,.345,0,.23,-.34599999
.15000001,71923,.5,.55699998,1,.50999999,.565
.20999999,55204,.51999998,.55000001,1,.5,.69099998
.11,74625,.47999999,.62300003,1,.63,.95999998
.27000001,51453,.60000002,.426,0,.17,-.391
.079999998,89758,.49000001,.62199998,1,.68000001,.98400003
.15000001,60312,.44999999,.66600001,1,.57999998,.83200002
.11,75957,.50999999,.59200001,1,.66000003,.84200001
.23999999,48582,.63,.39899999,0,.20999999,-.65399998
.14,70555,.44999999,.66299999,1,.72000003,.667
.27000001,49680,.68000001,.35299999,0,.50999999,-.308
.28999999,44396,.74000001,.29899999,0,.54000002,-.39500001
.13,64221,.63999999,.398,0,.79000002,-.32699999
.2,47325,.47,.52200001,1,.75,.66399997
.2,49804,.49000001,.55900002,1,.79000002,.69599998
.16,52378,.40000001,.69199997,1,.76999998,.84200001
.050000001,82734,.46000001,.676,1,.88,.76599997
.23,50218,.58999997,.43900001,0,.69,-.28600001
.14,59650,.66000003,.37799999,0,.72000003,-.43399999
.090000004,67119,.58999997,.39300001,0,.88999999,-.345
.13,60501,.63,.34,0,.75999999,-.44600001
.11,84047,.60000002,.46900001,0,.70999998,-.22400001
.14,66454,.56,.45899999,0,.80000001,-.28999999
.16,54610,.62,.419,0,.73000002,-.206
.25999999,45793,.31999999,1,1,.77999997,.81400001
.23999999,46195,.44999999,.56400001,1,.72000003,.80299997
.37,35598,.73000002,.34999999,0,.38,-.36399999
.18000001,53919,.38,1,1,.77999997,.50599998
.22,46027,.43000001,.67400002,1,.88,.71799999
.17,46772,.43000001,1,1,.79000002,.81400001
.2,48977,.46000001,.69,1,.81,.676
.17,51053,.52999997,.59500003,1,.69999999,.70499998
.14,51136,.47,.71399999,1,.85000002,.55400002
.15000001,44434,.50999999,.65899998,1,.88,.50800002
.33000001,40219,.66000003,.40400001,0,.47999999,-.396
.25999999,46452,.49000001,.53899997,1,.72000003,.76999998
.23,49105,.47,.68900001,1,.86000001,.56099999
.15000001,52109,.41999999,.71700001,1,.83999997,.80299997
.19,47986,.47999999,.64700001,1,.77999997,.71700001
.23,48265,.47,.66900003,1,.81999999,.66900003
.31999999,36759,.87,0,0,.18000001,-.42899999
.23,41274,.50999999,.68900001,1,.30000001,.486
