County,Mortality,Poverty,HeadStart,Bin,FittedBasic,PovertyHS,PovertySq,PovertySqHS,BinMean,FittedQuadratic
25028,0,2.2371874,1,2.1900001,2.9518123,2.2371874,5.0050073,5.0050073,0,1.5309885
18066,0,2.1899614,1,2.1900001,2.9358652,2.1899614,4.7959309,4.7959309,0,1.6548731
44214,0,2.1511645,1,2.1900001,2.9227645,2.1511645,4.6275086,4.6275086,0,1.7526062
32018,0,2.1031687,1,2.1900001,2.9065576,2.1031687,4.4233189,4.4233189,0,1.8684685
25032,10.563008,2.0638545,1,2.01,2.8932819,2.0638545,4.2594953,4.2594953,5.5622358,1.9592187
18074,0,1.9739001,1,2.01,2.8629067,1.9739001,3.8962815,3.8962815,5.5622358,2.1527853
1066,6.1236987,1.9455881,1,2.01,2.8533463,1.9455881,3.7853131,3.7853131,5.5622358,2.2096541
25008,0,1.903271,1,1.83,2.839057,1.903271,3.6224403,3.6224403,4.1808486,2.2910364
25072,7.837605,1.8615274,1,1.83,2.8249612,1.8615274,3.4652843,3.4652843,4.1808486,2.3670673
1032,8.9581652,1.858742,1,1.83,2.8240206,1.858742,3.4549217,3.4549217,4.1808486,2.3719907
44131,0,1.8184061,1,1.83,2.8104002,1.8184061,3.3066008,3.3066008,4.1808486,2.4411776
43024,8.0791759,1.7797434,1,1.83,2.7973449,1.7797434,3.1674867,3.1674867,4.1808486,2.5037973
25027,6.3669934,1.7781435,1,1.83,2.7968047,1.7781435,3.1617944,3.1617944,4.1808486,2.5063105
1043,6.3856959,1.7748934,1,1.83,2.7957072,1.7748934,3.1502466,3.1502466,4.1808486,2.5113971
18119,0,1.7583742,1,1.83,2.7901289,1.7583742,3.0918798,3.0918798,4.1808486,2.5368547
18077,0,1.7463305,1,1.83,2.7860622,1.7463305,3.0496702,3.0496702,4.1808486,2.5549986
18060,0,1.70479,1,1.65,2.7720349,1.70479,2.9063089,2.9063089,1.1966895,2.6148853
18026,4.1327438,1.6746241,1,1.65,2.7618487,1.6746241,2.8043659,2.8043659,1.1966895,2.655755
25068,0,1.6641231,1,1.65,2.7583027,1.6641231,2.7693055,2.7693055,1.1966895,2.6694655
44254,0,1.6640795,1,1.65,2.7582881,1.6640795,2.7691607,2.7691607,1.1966895,2.6695216
44253,0,1.6480585,1,1.65,2.7528782,1.6480585,2.7160969,2.7160969,1.1966895,2.6899228
11152,0,1.5951121,1,1.65,2.7349994,1.5951121,2.5443826,2.5443826,1.1966895,2.7529235
1053,6.6374617,1.5938411,1,1.65,2.7345703,1.5938411,2.5403295,2.5403295,1.1966895,2.7543523
25035,0,1.5679034,1,1.65,2.7258117,1.5679034,2.4583211,2.4583211,1.1966895,2.7826588
