female,wjtest01,wjtest07,wjtest10,age,cutoff,white,black,hispanic,other,freelunch,agexcutoff
0,3,2,2,-202,0,0,0,1,0,1,0
1,,,,285,1,0,1,0,0,1,285
1,,,,-240,0,1,0,0,0,,0
0,0,2,0,-126,0,,,,,,0
1,11,9,12,-13,0,0,0,1,0,1,0
0,7,7,11,-294,0,0,0,1,0,,0
0,,,,-102,0,0,0,1,0,1,0
0,2,7,7,-116,0,0,0,1,0,,0
1,3,5,9,-41,0,,,,,,0
0,,,,75,1,0,0,0,1,1,75
1,,,,-145,0,0,0,1,0,1,0
0,4,7,14,-352,0,,,,,,0
0,,,,-126,0,0,1,0,0,1,0
0,,,,68,1,0,1,0,0,1,68
0,3,0,5,-279,0,0,0,1,0,1,0
1,2,1,5,-356,0,,,,,,0
1,,,,-22,0,0,0,1,0,,0
0,,,,-172,0,1,0,0,0,,0
1,,,,-349,0,0,0,1,0,1,0
1,,,,-61,0,0,1,0,0,1,0
0,,,,-180,0,1,0,0,0,,0
0,,,,-124,0,0,1,0,0,,0
0,,,,-295,0,0,0,1,0,1,0
0,18,6,10,-338,0,,,,,1,0
0,,,,-102,0,0,0,1,0,,0
0,10,4,9,292,1,0,1,0,0,1,292
1,0,4,11,-38,0,0,1,0,0,1,0
0,1,5,6,-295,0,,,,,,0
1,,,,-37,0,1,0,0,0,1,0
0,6,9,14,292,1,0,1,0,0,1,292
1,,,,-139,0,0,1,0,0,1,0
0,1,1,1,-324,0,0,0,1,0,1,0
1,3,,7,-20,0,0,0,0,1,1,0
0,,,,-201,0,0,0,0,1,,0
,2,2,1,-80,0,,,,,,0
1,,,,-33,0,0,1,0,0,1,0
0,,,,94,1,0,0,1,0,1,94
1,4,9,13,-102,0,0,0,1,0,1,0
1,6,5,7,-258,0,0,0,0,1,,0
1,,,,-90,0,0,0,1,0,,0
1,,,,-167,0,1,0,0,0,,0
0,7,1,6,-210,0,0,1,0,0,1,0
0,3,7,12,239,1,0,0,0,1,1,239
0,4,3,0,-159,0,0,0,1,0,1,0
0,,,,-196,0,0,0,1,0,,0
1,,,,-188,0,0,0,1,0,,0
0,6,4,8,17,1,0,0,1,0,1,17
0,1,4,0,-353,0,0,0,1,0,1,0
0,,,,88,1,0,1,0,0,,88
1,,,,201,1,0,0,1,0,,201
1,,,,-164,0,0,1,0,0,,0
1,8,7,17,292,1,0,1,0,0,1,292
0,12,6,12,-159,0,0,0,0,1,1,0
1,7,7,0,-45,0,0,0,1,0,1,0
0,5,4,9,-57,0,0,0,0,1,1,0
1,2,,5,-71,0,0,0,1,0,1,0
1,8,1,9,-164,0,0,1,0,0,1,0
1,,,,-240,0,0,0,1,0,,0
0,,,,-143,0,1,0,0,0,,0
0,,,,-285,0,0,1,0,0,1,0
1,,,,-349,0,0,1,0,0,,0
0,,,,40,1,0,1,0,0,1,40
0,,,,-249,0,0,0,0,1,,0
1,,,,-137,0,0,1,0,0,,0
0,2,3,3,158,1,0,0,1,0,,158
0,5,0,0,-70,0,,,,,,0
0,,,,-284,0,0,1,0,0,1,0
0,,,,-10,0,,,,,,0
1,14,10,13,-104,0,,,,,,0
1,13,4,18,-20,0,1,0,0,0,,0
1,,,,-354,0,0,0,1,0,,0
1,,,,-156,0,0,1,0,0,,0
1,8,11,13,138,1,0,1,0,0,,138
1,,,,-58,0,0,0,1,0,,0
1,2,2,6,-256,0,0,1,0,0,1,0
0,,,,-75,0,0,0,1,0,,0
0,1,7,8,-65,0,,,,,,0
0,,,,-185,0,0,0,1,0,,0
1,0,4,0,-286,0,0,0,1,0,1,0
1,,,,-124,0,1,0,0,0,,0
0,,,,-47,0,0,0,0,1,,0
1,0,0,0,-111,0,,,,,,0
1,11,10,14,323,1,1,0,0,0,,323
1,3,2,2,-149,0,0,0,1,0,,0
0,9,11,17,108,1,0,1,0,0,1,108
0,,,,-286,0,0,0,0,1,,0
1,4,1,5,-317,0,,,,,,0
1,,,,-349,0,0,1,0,0,,0
0,13,9,19,249,1,0,1,0,0,,249
